Val loss: 0.23527109233232646, pck_50: 96.44961349924586, pck_40: 93.78888574660633, pck_30: 87.5281627073906, pck_20: 72.32477846907992, pck_10: 37.658960218702845, pck_5: 13.090356334841621
Val loss: 0.22959235665889888, pck_50: 96.44772812971348, pck_40: 93.795366704374, pck_30: 87.63174019607845, pck_20: 73.59398567119149, pck_10: 39.67677696078431, pck_5: 13.617081447963798
Val loss: 0.2292843808921484, pck_50: 96.48142911010565, pck_40: 93.80656108597282, pck_30: 87.37474076168927, pck_20: 73.1724877450981, pck_10: 39.801211349924586, pck_5: 14.220164027149329
Val loss: 0.23113811236734574, pck_50: 96.4824896304676, pck_40: 93.78535067873297, pck_30: 87.48503487933633, pck_20: 73.02754996229258, pck_10: 39.40186651583705, pck_5: 13.808328619909506
Val loss: 0.23031872069606416, pck_50: 96.45562311463041, pck_40: 93.84403280542996, pck_30: 87.6348039215687, pck_20: 73.22798831070885, pck_10: 38.87726244343895, pck_5: 13.388833898944196
Val loss: 0.22807862414763524, pck_50: 96.51065233785826, pck_40: 93.87950131975869, pck_30: 87.62761595022633, pck_20: 73.43549679487178, pck_10: 40.16968325791856, pck_5: 14.24078525641025
Val loss: 0.2267427524121908, pck_50: 96.47141308446461, pck_40: 93.85110294117646, pck_30: 87.82310520361987, pck_20: 73.88232937405736, pck_10: 40.32298736802417, pck_5: 14.270479826545996
Val loss: 0.22904789293041597, pck_50: 96.49062028657623, pck_40: 93.83071738310716, pck_30: 87.5425386500754, pck_20: 73.34016779788845, pck_10: 39.96665252639521, pck_5: 13.891874057315233
Val loss: 0.22739128501942524, pck_50: 96.46905637254912, pck_40: 93.8529883107089, pck_30: 87.66367364253391, pck_20: 73.72961444193056, pck_10: 40.97214366515834, pck_5: 14.481994720965314
Val loss: 0.22698727447826128, pck_50: 96.49839743589739, pck_40: 93.93688725490195, pck_30: 87.84714366515843, pck_20: 73.65443533182508, pck_10: 39.53926282051282, pck_5: 13.649839743589741
Val loss: 0.232881371734234, pck_50: 96.46304675716442, pck_40: 93.77922322775254, pck_30: 87.48715592006043, pck_20: 72.67097944947207, pck_10: 38.401206636500774, pck_5: 13.220328996983401
Val loss: 0.22600100071957477, pck_50: 96.5164262820513, pck_40: 93.82777149321268, pck_30: 87.48515271493208, pck_20: 73.60447303921565, pck_10: 40.94398095776768, pck_5: 14.595234728506794
Val loss: 0.2276884786784649, pck_50: 96.4851998491705, pck_40: 93.77745569381612, pck_30: 87.51590780542995, pck_20: 73.4383248491705, pck_10: 40.71408371040726, pck_5: 14.694334464555055
Val loss: 0.2255061631019299, pck_50: 96.46658182503765, pck_40: 93.92097944947204, pck_30: 87.87730957767721, pck_20: 74.09514046003012, pck_10: 41.25695230015081, pck_5: 14.90549585218702
Val loss: 0.22401410934443658, pck_50: 96.48602469834096, pck_40: 93.84650735294113, pck_30: 87.83571361236808, pck_20: 74.22923736802419, pck_10: 41.85249340120664, pck_5: 15.02238876319758
Val loss: 0.2293424787429663, pck_50: 96.45974736048262, pck_40: 93.73102846907997, pck_30: 87.3145267722473, pck_20: 73.04675716440424, pck_10: 40.291996606334884, pck_5: 14.705764517345392
Val loss: 0.22769357123627113, pck_50: 96.5166619532429, pck_40: 93.73244249622928, pck_30: 87.40643853695327, pck_20: 73.48758012820504, pck_10: 40.79279788838615, pck_5: 14.359917043740575
Val loss: 0.22301927564235835, pck_50: 96.5263244720965, pck_40: 93.96823152337856, pck_30: 87.82499057315228, pck_20: 74.16725584464558, pck_10: 42.221907993966795, pck_5: 15.662236048265465
Val loss: 0.22378012294379565, pck_50: 96.52526395173453, pck_40: 94.00912047511315, pck_30: 88.10449660633488, pck_20: 74.1951828808446, pck_10: 40.8897765837104, pck_5: 14.472214366515846
Val loss: 0.22265783313375254, pck_50: 96.53869720965311, pck_40: 93.96929204374052, pck_30: 87.9427083333332, pck_20: 74.29958521870282, pck_10: 41.637089932126614, pck_5: 14.976550716440407
Val loss: 0.22326819762014427, pck_50: 96.54859539969834, pck_40: 93.94195418552039, pck_30: 87.90818250377065, pck_20: 74.3017062594269, pck_10: 41.82244532428356, pck_5: 15.256292420814482
Val loss: 0.22412609649965395, pck_50: 96.50641025641025, pck_40: 93.8871606334841, pck_30: 87.83100018853683, pck_20: 74.29004053544496, pck_10: 42.096059577677266, pck_5: 15.156250000000012
Val loss: 0.22088819484298045, pck_50: 96.5528374811463, pck_40: 94.01336255656102, pck_30: 88.1332484917044, pck_20: 74.75796568627446, pck_10: 42.03337104072394, pck_5: 15.036411199095015
Val loss: 0.22330327971050373, pck_50: 96.50216817496235, pck_40: 93.89953337104062, pck_30: 87.88638291855193, pck_20: 74.3648661387632, pck_10: 42.23934766214182, pck_5: 15.63442684766211
Val loss: 0.22013920402297607, pck_50: 96.57923265460028, pck_40: 94.00935614630467, pck_30: 88.09884049773761, pck_20: 74.7729308069381, pck_10: 42.25384144042236, pck_5: 15.245098039215689
Val loss: 0.22402899637818335, pck_50: 96.52443910256416, pck_40: 93.88209370286582, pck_30: 87.7344928355957, pck_20: 73.972237933635, pck_10: 41.369956636500795, pck_5: 15.045248868778287
Val loss: 0.22326097290676375, pck_50: 96.57428355957761, pck_40: 93.9676423453997, pck_30: 88.01517722473604, pck_20: 74.3249198717949, pck_10: 41.22902526395176, pck_5: 14.749128016591252
Val loss: 0.22722650783566328, pck_50: 96.46233974358977, pck_40: 93.90177224736036, pck_30: 87.9530778657617, pck_20: 74.02467477375565, pck_10: 40.549113876319794, pck_5: 14.398920625942692
Val loss: 0.22202972494638884, pck_50: 96.51359822775267, pck_40: 93.86748208898943, pck_30: 87.94094079939676, pck_20: 74.53160350678739, pck_10: 42.4443815987934, pck_5: 15.638197586727005
Val loss: 0.22010956529814463, pck_50: 96.5054675716441, pck_40: 93.9578619909502, pck_30: 88.07645173453994, pck_20: 74.94756315987937, pck_10: 43.19829374057313, pck_5: 15.968255090497724
Val loss: 0.2222036829361549, pck_50: 96.51630844645544, pck_40: 93.86159030920054, pck_30: 87.82310520362003, pck_20: 74.44251979638013, pck_10: 42.76265554298637, pck_5: 15.857136123680228
Val loss: 0.22016949937320673, pck_50: 96.52125754147819, pck_40: 93.95845116892914, pck_30: 88.11533748114624, pck_20: 74.7712811085973, pck_10: 42.7080976621418, pck_5: 15.967783748114611
Val loss: 0.22195586501978912, pck_50: 96.52656014328815, pck_40: 93.89175622171945, pck_30: 87.8163885746606, pck_20: 74.40127733785825, pck_10: 43.35631127450981, pck_5: 16.19308540723982
Val loss: 0.22062601948586794, pck_50: 96.53787236048264, pck_40: 93.97023472850677, pck_30: 88.00386500754149, pck_20: 74.88746700603328, pck_10: 43.035091440422384, pck_5: 15.987933634992448
Val loss: 0.22103645526445828, pck_50: 96.5753440799396, pck_40: 93.92251131221722, pck_30: 87.66438065610855, pck_20: 74.42614064856716, pck_10: 42.454161953242846, pck_5: 16.001720399698335
Val loss: 0.22196211863595705, pck_50: 96.56061463046753, pck_40: 93.86830693815989, pck_30: 87.73166478129707, pck_20: 74.29298642533941, pck_10: 42.77090403469079, pck_5: 15.66706730769231
Val loss: 0.21904243417084218, pck_50: 96.55778657616884, pck_40: 93.98201828808443, pck_30: 88.0949519230769, pck_20: 74.9901018099548, pck_10: 43.57360011312214, pck_5: 16.601621417797894
Val loss: 0.21894167630145184, pck_50: 96.55307315233786, pck_40: 94.0348086349925, pck_30: 88.17802601809952, pck_20: 75.07623963046758, pck_10: 43.67352469834087, pck_5: 16.63850395927602
Val loss: 0.2198882560317333, pck_50: 96.59490478883868, pck_40: 93.96834935897438, pck_30: 87.81308917797887, pck_20: 74.55717383107086, pck_10: 42.82334087481145, pck_5: 16.243754713423833
Val loss: 0.22090111503807397, pck_50: 96.55660822021112, pck_40: 93.81292420814482, pck_30: 87.54595588235296, pck_20: 74.50650452488688, pck_10: 42.91289592760182, pck_5: 15.658465309200613
Val loss: 0.2176461194570248, pck_50: 96.5669777526395, pck_40: 94.0012254901961, pck_30: 88.17637631975873, pck_20: 75.17981711915536, pck_10: 44.054722850678736, pck_5: 16.573340874811475
