Val loss: 0.233153833850072, pck_50: 96.46787801659137, pck_40: 93.50501979638001, pck_30: 86.73536481900463, pck_20: 72.2858927224736, pck_10: 38.06301847662138, pck_5: 13.072327488687781
Val loss: 0.23167753308438338, pck_50: 96.47188442684774, pck_40: 93.48439856711914, pck_30: 86.83022247360488, pck_20: 72.70797982654594, pck_10: 38.63228223981896, pck_5: 13.283606711915551
Val loss: 0.22916577541484281, pck_50: 96.4943910256411, pck_40: 93.70640082956264, pck_30: 87.32501414027149, pck_20: 73.36939102564101, pck_10: 39.16183540723981, pck_5: 13.614724736048256
Val loss: 0.22811733555908387, pck_50: 96.50075414781304, pck_40: 93.69744532428348, pck_30: 87.39689385369526, pck_20: 73.59987745098043, pck_10: 39.503912141779786, pck_5: 13.896351809954751
Val loss: 0.22519027321384502, pck_50: 96.51560143288094, pck_40: 93.74941082202115, pck_30: 87.43389423076921, pck_20: 73.94607843137256, pck_10: 40.50410067873301, pck_5: 14.298760369532442
Val loss: 0.22452742678041643, pck_50: 96.53822586726997, pck_40: 93.69827017345398, pck_30: 87.36802413272991, pck_20: 74.01807598039204, pck_10: 40.38897530165908, pck_5: 14.38277714932124
Val loss: 0.22337483815275705, pck_50: 96.54989159125192, pck_40: 93.8362556561086, pck_30: 87.75664592760184, pck_20: 74.41117552790347, pck_10: 40.998421003016595, pck_5: 14.691859917043736
Val loss: 0.2226803234563424, pck_50: 96.54906674208156, pck_40: 93.80785727752635, pck_30: 87.6208993212669, pck_20: 74.36486613876316, pck_10: 41.266496983408764, pck_5: 14.79437688536952
Val loss: 0.22155386020357792, pck_50: 96.57404788838626, pck_40: 93.68931466817493, pck_30: 87.41645456259424, pck_20: 74.34094551282057, pck_10: 41.648402149321285, pck_5: 15.04194947209654
Val loss: 0.2204486518811721, pck_50: 96.53681184012075, pck_40: 93.80396870286573, pck_30: 87.78398378582207, pck_20: 74.94449943438902, pck_10: 42.16593608597285, pck_5: 15.276442307692312
Val loss: 0.2190188403886098, pck_50: 96.55707956259437, pck_40: 93.8678355957768, pck_30: 87.8973416289594, pck_20: 74.9710124434389, pck_10: 42.32796003016596, pck_5: 15.339720022624428
Val loss: 0.21851635798811914, pck_50: 96.61281579939684, pck_40: 93.86618589743588, pck_30: 87.83618495475116, pck_20: 74.98338518099547, pck_10: 42.4629996229261, pck_5: 15.479708710407241
Val loss: 0.2190269763366534, pck_50: 96.55884709653103, pck_40: 93.73385652337846, pck_30: 87.7414451357467, pck_20: 75.02439196832573, pck_10: 42.72754053544495, pck_5: 15.727988310708891
Val loss: 0.21835267870472028, pck_50: 96.5933729260936, pck_40: 93.7991374434389, pck_30: 87.83429958521867, pck_20: 75.05125848416283, pck_10: 42.768665158371036, pck_5: 15.781014328808459
Val loss: 0.2171122506260872, pck_50: 96.60126791101055, pck_40: 93.76956070889881, pck_30: 87.78810803167427, pck_20: 75.1180712669684, pck_10: 43.32272812971344, pck_5: 16.08962575414782
Val loss: 0.21708230164188605, pck_50: 96.5444711538462, pck_40: 93.93311651583707, pck_30: 88.30623114630471, pck_20: 75.76086444193069, pck_10: 43.65903092006038, pck_5: 16.25813065610861
Val loss: 0.21660882664414552, pck_50: 96.59184106334855, pck_40: 93.83448812217192, pck_30: 87.95048548265468, pck_20: 75.30943627450993, pck_10: 43.73314950980393, pck_5: 16.4097850678733
Val loss: 0.21590274469210552, pck_50: 96.62330316742083, pck_40: 93.79289215686275, pck_30: 87.8896823152338, pck_20: 75.31414969834091, pck_10: 43.64383012820517, pck_5: 16.175527903469092
Val loss: 0.2184800791625793, pck_50: 96.48213612368022, pck_40: 93.48852281297131, pck_30: 87.55715026395178, pck_20: 75.11842477375568, pck_10: 43.719716251885366, pck_5: 16.518075980392144
