Val loss: 0.3257235074845644, pck_50: 95.61769419306187, pck_40: 91.29560237556561, pck_30: 78.77981240573146, pck_20: 56.71568627450977, pck_10: 23.456235859728505, pck_5: 6.7878016591251935
Val loss: 0.3259596650990156, pck_50: 95.6083851809955, pck_40: 91.30561840120657, pck_30: 78.75011783559582, pck_20: 56.71945701357469, pck_10: 23.23293740573152, pck_5: 6.8199707767722515
Val loss: 0.326187150610181, pck_50: 95.61757635746605, pck_40: 91.25565610859724, pck_30: 78.71995192307692, pck_20: 56.58052884615383, pck_10: 23.30894136500758, pck_5: 6.751272624434392
Val loss: 0.32605757074287306, pck_50: 95.61156674208142, pck_40: 91.27474547511308, pck_30: 78.709346719457, pck_20: 56.70319570135746, pck_10: 23.403799019607828, pck_5: 6.83894230769231
Val loss: 0.32633338519013844, pck_50: 95.60449660633485, pck_40: 91.24717194570131, pck_30: 78.66621889140272, pck_20: 56.64533842383104, pck_10: 23.310826734539987, pck_5: 6.859563536953248
Val loss: 0.32606177814304826, pck_50: 95.6133342760181, pck_40: 91.25424208144791, pck_30: 78.69921285822015, pck_20: 56.65181938159877, pck_10: 23.438678355957776, pck_5: 6.765530731523382
Val loss: 0.3254588155505749, pck_50: 95.61828337104075, pck_40: 91.30915346907989, pck_30: 78.76390460030159, pck_20: 56.74597002262445, pck_10: 23.339107277526388, pck_5: 6.798996040723986
Val loss: 0.3260422483946268, pck_50: 95.63100961538461, pck_40: 91.30491138763198, pck_30: 78.79819475867266, pck_20: 56.40000471342386, pck_10: 23.164946266968332, pck_5: 6.714625754147817
Val loss: 0.32600456771369163, pck_50: 95.60873868778282, pck_40: 91.28252262443436, pck_30: 78.74552224736044, pck_20: 56.66925904977372, pck_10: 23.342642345399682, pck_5: 6.7968750000000036
Val loss: 0.32607829060692056, pck_50: 95.61651583710402, pck_40: 91.23515271493208, pck_30: 78.72584370286576, pck_20: 56.71167986425335, pck_10: 23.532946832579192, pck_5: 6.775428921568634
Val loss: 0.32621570986050824, pck_50: 95.61545531674209, pck_40: 91.26520079185522, pck_30: 78.75966251885359, pck_20: 56.60386029411762, pck_10: 23.278539781297127, pck_5: 6.811840120663648
Val loss: 0.32615913020876736, pck_50: 95.61156674208144, pck_40: 91.23939479638004, pck_30: 78.71771304675711, pck_20: 56.68151395173456, pck_10: 23.388126885369527, pck_5: 6.757400075414788
Val loss: 0.3256979950918601, pck_50: 95.61969739819004, pck_40: 91.27156391402714, pck_30: 78.77003205128202, pck_20: 56.7236990950226, pck_10: 23.516096342383097, pck_5: 6.7450273378582235
Val loss: 0.3254630659062129, pck_50: 95.61792986425337, pck_40: 91.29748774509798, pck_30: 78.80644325037709, pck_20: 56.734304298642506, pck_10: 23.402502828054295, pck_5: 6.796992835595779
Val loss: 0.32597112013743473, pck_50: 95.6154553167421, pck_40: 91.27368495475115, pck_30: 78.6820088612368, pck_20: 56.69046945701353, pck_10: 23.41522907239819, pck_5: 6.779081825037702
Val loss: 0.3259395526005672, pck_50: 95.61510180995477, pck_40: 91.27981240573148, pck_30: 78.70816836349925, pck_20: 56.65582579185515, pck_10: 23.44409879336353, pck_5: 6.79039404223228
Val loss: 0.32605116304296716, pck_50: 95.61580882352939, pck_40: 91.29854826545993, pck_30: 78.799608785822, pck_20: 56.68929110105586, pck_10: 23.43596813725491, pck_5: 6.922487745098043
Val loss: 0.32615547185906996, pck_50: 95.60096153846155, pck_40: 91.24151583710405, pck_30: 78.76791101055798, pck_20: 56.73371512066366, pck_10: 23.40438819758673, pck_5: 6.787212481146306
Val loss: 0.32542040657538635, pck_50: 95.61686934389138, pck_40: 91.28358314479632, pck_30: 78.89163838612362, pck_20: 56.67161576168932, pck_10: 23.22952017345398, pck_5: 6.746087858220214
Val loss: 0.32624109496290865, pck_50: 95.61015271493213, pck_40: 91.21924490950222, pck_30: 78.71205693815982, pck_20: 56.677036199095, pck_10: 23.57418929110105, pck_5: 6.83210784313726
Val loss: 0.32575435833289074, pck_50: 95.62252545248866, pck_40: 91.28405448717946, pck_30: 78.7120569381598, pck_20: 56.70838046757161, pck_10: 23.45941742081449, pck_5: 6.6883484162896005
Val loss: 0.32586029664828225, pck_50: 95.61828337104068, pck_40: 91.26319758672695, pck_30: 78.68012349170434, pck_20: 56.547888386123674, pck_10: 23.486990950226225, pck_5: 6.744791666666671
Val loss: 0.32558559463001213, pck_50: 95.6274745475113, pck_40: 91.29006410256406, pck_30: 78.71382447209645, pck_20: 56.69247266214174, pck_10: 23.414404223227738, pck_5: 6.662895927601815
Val loss: 0.32632323013475306, pck_50: 95.6112132352941, pck_40: 91.19237839366511, pck_30: 78.67753110859721, pck_20: 56.62778092006029, pck_10: 23.51067590497737, pck_5: 6.770244155354453
Val loss: 0.32582955457843266, pck_50: 95.61899038461536, pck_40: 91.26779317496226, pck_30: 78.74316553544493, pck_20: 56.62766308446448, pck_10: 23.456589366515846, pck_5: 6.733832956259439
Val loss: 0.325482254790572, pck_50: 95.61969739819001, pck_40: 91.27156391402717, pck_30: 78.807503770739, pck_20: 56.72358125942681, pck_10: 23.407687594268467, pck_5: 6.720517533936655
Val loss: 0.32568169654561924, pck_50: 95.61050622171948, pck_40: 91.27804487179482, pck_30: 78.77439196832567, pck_20: 56.706495098039206, pck_10: 23.362438725490204, pck_5: 6.773779223227754
Val loss: 0.3259362472364536, pck_50: 95.62040441176467, pck_40: 91.21323529411765, pck_30: 78.88103318250371, pck_20: 56.57793646304671, pck_10: 23.310826734539965, pck_5: 6.706023755656105
Val loss: 0.3256425661822924, pck_50: 95.61474830316737, pck_40: 91.22949660633478, pck_30: 78.78334747360478, pck_20: 56.65158371040722, pck_10: 23.409572963800894, pck_5: 6.7702441553544475
Val loss: 0.3249490813567088, pck_50: 95.62005090497736, pck_40: 91.29784125188532, pck_30: 78.88786764705875, pck_20: 56.71509709653097, pck_10: 23.385652337858208, pck_5: 6.6894089366515885
Val loss: 0.3256362504110886, pck_50: 95.6115667420814, pck_40: 91.23550622171945, pck_30: 78.78523284313714, pck_20: 56.716746794871774, pck_10: 23.547558446455465, pck_5: 6.812311463046757
Val loss: 0.32558191243845686, pck_50: 95.61580882352938, pck_40: 91.22560803167424, pck_30: 78.82352941176458, pck_20: 56.68752356711919, pck_10: 23.41063348416289, pck_5: 6.770833333333338
Val loss: 0.3260165336900033, pck_50: 95.61192024886877, pck_40: 91.26956070889892, pck_30: 78.72961444193056, pck_20: 56.68269230769229, pck_10: 23.4972426470588, pck_5: 6.909407993966822
Val loss: 0.3252939330270657, pck_50: 95.621818438914, pck_40: 91.27945889894411, pck_30: 78.85935143288084, pck_20: 56.622478318250344, pck_10: 23.302578242835587, pck_5: 6.654058257918552
Val loss: 0.32566136388251415, pck_50: 95.61934389140272, pck_40: 91.23020361990953, pck_30: 78.77085690045239, pck_20: 56.66914121417796, pck_10: 23.52399132730013, pck_5: 6.724995286576176
Val loss: 0.3256197819916102, pck_50: 95.62252545248865, pck_40: 91.25471342383108, pck_30: 78.76272624434387, pck_20: 56.58147153092002, pck_10: 23.343231523378567, pck_5: 6.666077488687785
Val loss: 0.3256439725653483, pck_50: 95.62358597285068, pck_40: 91.24799679487167, pck_30: 78.74835030165912, pck_20: 56.539286387631925, pck_10: 23.350537330316733, pck_5: 6.6342618778280515
